project_id;name;author;url
1;La transfiguración;Rafael Sanzio;images/transfiguracion.png
2;Niños comiendo uvas y melón;Bartolomé Esteban Murillo;images/uvasmelon.jpg
3;La escuela de Atenas;Rafael Sanzio;images/escuelaatenas.webp
4;Mona Lisa;Leonardo da Vinci;images/mona-lisa.webp
5;Mona Lisa;Leonardo da Vinci;images/mona-lisa.webp
